ind,pop,lat,long,sex,color,AT16a,AT16b,AT58a,AT58b,AT19a,AT19b,AM5_64a,AM5_64b,AT53a,AT53b,B38_1a,B38_1b,CorAT64a,CorAT64b,PnMs16a,PnMs16b,TvM1a,TvM1b
5823,4,-38.932479,177.038888,F,bl,138,138,133,149,258,264,255,255,255,269,NA,NA,182,186,228,228,223,223
5824,4,-38.932531,177.038949,M,bl,130,140,133,155,264,278,255,291,249,255,NA,NA,166,166,248,250,223,231
5825,4,-38.936375,177.048338,M,br,138,144,133,133,258,276,255,259,259,265,NA,NA,166,186,248,248,223,227
5826,4,-38.93358,177.045763,F,bl,138,142,133,133,258,276,255,255,269,269,87,89,166,180,228,250,223,229
5827,4,-38.935304,177.04778,F,gr,140,140,133,133,258,264,259,259,257,265,87,89,166,166,228,248,223,233
5828,4,-38.936306,177.048242,F,bl,136,138,133,133,258,258,259,259,219,261,85,85,168,168,228,250,223,223
5830,4,-38.933524,177.045056,M,gr,138,138,133,133,270,270,255,255,255,255,NA,NA,NA,NA,NA,NA,223,249
5831,4,-38.932033,177.041056,M,bl,138,140,133,133,258,278,255,287,265,265,NA,NA,166,166,NA,NA,235,235
5832,4,-38.927141,177.075303,F,bl,142,144,133,149,NA,NA,287,299,249,265,NA,NA,178,180,NA,NA,223,223
5833,4,-38.933329,177.040865,F,br,140,144,133,153,264,278,259,259,257,265,85,89,NA,NA,250,250,235,235
5834,4,-38.934075,177.042213,M,bl,140,144,149,155,258,264,NA,NA,255,255,91,91,166,180,248,250,223,227
5835,4,-38.92669,177.076327,F,bl,136,138,133,133,264,264,259,299,257,265,89,89,166,166,228,248,223,235
5836,4,-38.931957,177.041167,M,bl,136,138,133,153,258,258,259,259,261,261,NA,NA,NA,NA,248,248,223,231
5837,4,-38.926689,177.07635,F,bl,136,138,133,145,264,276,255,255,263,269,89,89,178,178,228,248,223,227
5838,4,-38.925436,177.076843,M,bl,138,142,NA,NA,NA,NA,NA,NA,241,255,85,89,178,178,NA,NA,231,231
5839,4,-38.932433,177.040963,M,gr,138,144,133,149,258,258,255,259,239,261,85,85,166,180,NA,NA,223,223
5840,4,-38.927545,177.076123,M,bl,138,142,133,149,270,276,255,287,255,255,NA,NA,NA,NA,NA,NA,235,235
5841,4,-38.928858,177.077493,F,bl,138,144,133,133,258,270,255,255,255,265,NA,NA,NA,NA,NA,NA,223,227
5843,4,-38.930138,177.076471,M,bl,NA,NA,133,133,NA,NA,NA,NA,NA,NA,83,87,178,182,248,248,227,235
5844,4,-38.933329,177.040865,F,bl,136,140,133,133,264,270,255,255,263,265,85,89,166,178,248,250,223,235
5845,4,-38.929176,177.073344,F,bl,138,140,133,149,258,264,259,259,257,261,87,91,NA,NA,228,248,223,235
5846,4,-38.928876,177.077494,M,bl,136,144,133,149,264,264,255,255,257,257,85,89,166,180,228,228,227,227
5847,4,-38.933527,177.044964,F,bl,138,144,133,149,258,264,259,299,265,265,87,89,178,186,NA,NA,223,223
5848,4,-38.930157,177.075698,M,bl,134,138,133,149,258,264,259,259,255,265,89,91,178,186,248,250,223,223
5849,4,-38.928226,177.074454,M,bl,142,144,145,149,258,276,259,259,257,259,85,87,166,178,228,228,223,233
5850,4,-38.926193,177.075075,F,bl,140,140,133,133,258,276,255,255,261,265,87,89,166,166,NA,NA,223,223
5851,4,-38.933067,177.039857,F,bl,138,144,133,133,258,270,255,255,259,265,87,87,178,178,250,250,231,235
